नाम-संख्या	नाम	प्रातिपदिकं	अन्त्यवर्णः	लिङ्गम्
३०३	युगावर्तः	युगावर्त	अ	पुं
३०४	नैकमायः	नैकमाय	अ	पुं
३०५	महाशनः	महाशन	अ	पुं
३०६	अदृश्यः	अदृश्य	अ	पुं
३०७	व्यक्तरूपः	व्यक्तरूप	अ	पुं
३०८	सहस्रजित्	सहस्रजित्	त्	पुं
३०९	अनन्तजित्	अनन्तजित्	त्	पुं
३१०	इष्टः	इष्ट	अ	पुं
३११	अविशिष्टः	अविशिष्ट	अ	पुं
३१२	शिष्टेष्टः	शिष्टेष्ट	अ	पुं
३१३	शिखण्डी	शिखण्डिन्	न्	पुं
३१४	नहुषः	नहुष	अ	पुं
३१५	वृषः	वृष	अ	पुं
३१६	क्रोधहा	क्रोधहन्	न्	पुं
३१७	क्रोधकृत्	क्रोधकृत्	त्	पुं
३१८	विश्वबाहुः	विश्वबाहु	उ	पुं
३१९	महीधरः	महीधर	अ	पुं
३२०	अच्युतः	अच्युत	अ	पुं
३२१	प्रथितः	प्रथित	अ	पुं
३२२	प्राणः	प्राण	अ	पुं
३२३	प्राणदः	प्राणद	अ	पुं
३२४	वासवानुजः	वासवानुज	अ	पुं
३२५	अपांनिधिः	अपांनिधि	इ	पुं
३२६	अधिष्ठानम्	अधिष्ठान	अ	न
३२७	अप्रमत्तः	अप्रमत्त	अ	पुं
३२८	प्रतिष्ठितः	प्रतिष्ठित	अ	पुं
३२९	स्कन्दः	स्कन्द	अ	पुं
३३०	स्कन्दधरः	स्कन्दधर	अ	पुं
३३१	धुर्यः	धुर्य	अ	पुं
३३२	वरदः	वरद	अ	पुं
३३३	वायुवाहनः	वायुवाहन	अ	पुं
३३४	वासुदेवः	वासुदेव	अ	पुं
३३५	बृहद्भानुः	बृहद्भानु	उ	पुं
३३६	आदिदेवः	आदिदेव	अ	पुं
३३७	पुरन्दरः	पुरन्दर	अ	पुं
३३८	अशोकः	अशोक	अ	पुं
३३९	तारणः	तारण	अ	पुं
३४०	तारः	तार	अ	पुं
३४१	शूरः	शूर	अ	पुं
३४२	शौरिः	शौरि	इ	पुं
३४३	जनेश्वरः	जनेश्वर	अ	पुं
३४४	अनुकुलः	अनुकुल	अ	पुं
३४५	शतावर्तः	शतावर्त	अ	पुं
३४६	पद्मी	पद्मिन्	न्	पुं
३४७	पद्मनिभेक्षणः	पद्मनिभेक्षण	अ	पुं
३४८	पद्मनाभः	पद्मनाभ	अ	पुं
३४९	अरविन्दाक्षः	अरविन्दाक्ष	अ	पुं
३५०	पद्मगर्भः	पद्मगर्भ	अ	पुं
३५१	शरीरभृत्	शरीरभृत्	त्	पुं
३५२	महर्द्धिः	महर्द्धि	इ	पुं
३५३	ऋद्धः	ऋद्ध	अ	पुं
३५४	वृद्धात्मा	वृद्धात्मन्	न्	पुं
३५५	महाक्षः	महाक्ष	अ	पुं
३५६	गरुडध्वजः	गरुडध्वज	अ	पुं
३५७	अतुलः	अतुल	अ	पुं
३५८	शरभः	शरभ	अ	पुं
३५९	भीमः	भीम	अ	पुं
३६०	समयज्ञः	समयज्ञ	अ	पुं
३६१	हविर्हरिः	हविर्हरि	इ	पुं
३६२	सर्वलक्षणलक्षण्यः	सर्वलक्षणलक्षण्य	अ	पुं
३६३	लक्ष्मीवान्	लक्ष्मीवत्	त्	पुं
३६४	समितिञ्जयः	समितिञ्जय	अ	पुं
३६५	विक्षरः	विक्षर	अ	पुं
३६६	रोहितः	रोहित	अ	पुं
३६७	मार्गः	मार्ग	अ	पुं
३६८	हेतुः	हेतु	उ	पुं
३६९	दामोदरः	दामोदर	अ	पुं
३७०	सहः	सह	अ	पुं
३७१	महीधरः	महीधर	अ	पुं
३७२	महाभागः	महाभाग	अ	पुं
३७३	वेगवान्	वेगवत्	त्	पुं
३७४	अमिताशनः	अमिताशन	अ	पुं
३७५	उद्भवः	उद्भव	अ	पुं
३७६	क्षोभणः	क्षोभण	अ	पुं
३७७	देवः	देव	अ	पुं
३७८	श्रीगर्भः	श्रीगर्भ	अ	पुं
३७९	परमेश्वरः	परमेश्वर	अ	पुं
३८०	करणम्	करण	अ	न
३८१	कारणम्	कारण	अ	न
३८२	कर्ता	कर्तृ	ऋ	पुं
३८३	विकर्ता	विकर्तृ	ऋ	पुं
३८४	गहनः	गहन	अ	पुं
३८५	गुहः	गुह	अ	पुं
३८६	व्यवसायः	व्यवसाय	अ	पुं
३८७	व्यवस्थानः	व्यवस्थान	अ	पुं
३८८	संस्थानः	संस्थान	अ	पुं
३८९	स्थानदः	स्थानद	अ	पुं
३९०	ध्रुवः	ध्रुव	अ	पुं
३९१	परर्द्धिः	परर्द्धि	इ	पुं
३९२	परमस्पष्टः	परमस्पष्ट	अ	पुं
३९३	तुष्टः	तुष्ट	अ	पुं
३९४	पुष्टः	पुष्ट	अ	पुं
३९५	शुभ्रेक्षणः	शुभ्रेक्षण	अ	पुं
३९६	रामः	राम	अ	पुं
३९७	विरामः	विराम	अ	पुं
३९८	विरतः	विरत	अ	पुं
३९९	मार्गः	मार्ग	अ	पुं
४००	नेयः	नेय	अ	पुं
४०१	नयः	नय	अ	पुं
४०२	अनयः	अनय	अ	पुं
४०३	वीरः	वीर	अ	पुं
४०४	शक्तिमतां श्रेष्ठः	शक्तिमतां श्रेष्ठ	अ	पुं
४०५	धर्मः	धर्म	अ	पुं
४०६	धर्मविदुत्तमः	धर्मविदुत्तम	अ	पुं
४०७	वैकुण्ठः	वैकुण्ठ	अ	पुं
४०८	पुरुषः	पुरुष	अ	पुं
४०९	प्राणः	प्राण	अ	पुं
४१०	प्राणदः	प्राणद	अ	पुं
